Nama Gambar,Area,Perimeter,Circularity
486.jpg,10606.50,819.88,0.198
489.jpg,6741.50,1027.50,0.080
491.jpg,10996.00,768.32,0.234
494.jpg,77416.50,1366.98,0.521
498.jpg,6162.50,866.71,0.103
5.jpg,36041.00,2640.60,0.065
500.jpg,89401.00,1196.00,0.785
501.jpg,39852.50,2063.10,0.118
502.jpg,68954.00,3318.22,0.079
503.jpg,36167.50,1037.58,0.422
504.jpg,54230.00,978.00,0.712
505.jpg,42684.50,2310.58,0.100
509.jpg,30102.00,1612.37,0.146
512.jpg,19721.50,1412.41,0.124
513.jpg,10856.00,1079.00,0.117
514.jpg,55500.00,970.00,0.741
515.jpg,12441.50,1295.61,0.093
516.jpg,43498.00,842.00,0.771
518.jpg,39790.00,806.00,0.770
519.jpg,44980.00,866.00,0.754
522.jpg,37898.00,1435.02,0.231
524.jpg,18071.00,1246.54,0.146
530.jpg,31020.00,734.00,0.724
533.jpg,47146.50,1129.87,0.464
535.jpg,27418.50,1749.01,0.113
54.jpg,39380.00,798.00,0.777
544.jpg,7357.00,1515.85,0.040
546.jpg,15516.50,1356.21,0.106
548.jpg,2308.50,337.66,0.254
55.jpg,5015.00,1191.20,0.044
551.jpg,31139.50,2463.33,0.064
552.jpg,13192.50,1976.74,0.042
553.jpg,3403.00,702.52,0.087
555.jpg,14745.50,1684.20,0.065
557.jpg,16159.00,939.66,0.230
558.jpg,89401.00,1196.00,0.785
56.jpg,11860.00,1173.83,0.108
562.jpg,3938.00,574.22,0.150
563.jpg,35096.00,756.00,0.772
569.jpg,66757.00,2051.45,0.199
57.jpg,30430.00,698.00,0.785
573.jpg,5249.00,296.25,0.752
574.jpg,21825.50,1040.31,0.253
578.jpg,41538.00,838.00,0.743
581.jpg,39501.00,796.00,0.783
589.jpg,15726.00,1513.17,0.086
591.jpg,6889.00,1274.60,0.053
595.jpg,34564.50,861.04,0.586
597.jpg,13307.50,1373.55,0.089
605.jpg,21195.50,2113.91,0.060
614.jpg,7445.00,1144.63,0.071
615.jpg,7052.50,1443.67,0.043
616.jpg,40508.00,822.00,0.753
617.jpg,11100.50,1978.82,0.036
619.jpg,27120.00,1956.96,0.089
620.jpg,13083.00,2551.48,0.025
624.jpg,20397.50,2238.05,0.051
627.jpg,23471.00,1951.50,0.077
63.jpg,38664.00,790.00,0.779
632.jpg,33990.00,742.00,0.776
636.jpg,29646.00,690.00,0.782
637.jpg,59035.50,1488.65,0.335
638.jpg,47043.50,2488.07,0.095
639.jpg,49193.50,2303.75,0.116
641.jpg,12932.50,1222.82,0.109
642.jpg,27973.00,2385.26,0.062
643.jpg,1553.00,689.15,0.041
644.jpg,9990.50,2191.04,0.026
650.jpg,2026.00,443.79,0.129
651.jpg,19249.50,1460.82,0.113
653.jpg,86710.00,1178.00,0.785
655.jpg,20196.00,2111.18,0.057
656.jpg,7147.50,979.17,0.094
657.jpg,2573.50,387.46,0.215
665.jpg,10190.00,967.18,0.137
666.jpg,25423.50,1546.95,0.134
667.jpg,42504.00,842.00,0.753
670.jpg,84019.00,1160.00,0.785
671.jpg,18681.00,1126.55,0.185
678.jpg,6263.50,1058.93,0.070
679.jpg,38962.00,806.00,0.754
687.jpg,41452.00,826.00,0.763
69.jpg,45108.00,862.00,0.763
691.jpg,4662.00,600.30,0.163
698.jpg,9171.00,1521.31,0.050
70.jpg,14161.00,476.00,0.785
701.jpg,30336.50,2924.13,0.045
702.jpg,26159.50,3708.85,0.024
706.jpg,37931.00,1142.58,0.365
707.jpg,17020.50,809.54,0.326
712.jpg,4356.00,657.41,0.127
716.jpg,13405.00,1851.04,0.049
717.jpg,1300.00,270.94,0.223
718.jpg,34126.00,754.00,0.754
720.jpg,2084.50,421.75,0.147
721.jpg,36726.50,1903.03,0.127
722.jpg,8874.00,1356.37,0.061
725.jpg,11786.00,1198.63,0.103
731.jpg,5551.50,683.17,0.149
743.jpg,46232.00,2766.13,0.076
744.jpg,7115.00,614.93,0.236
748.jpg,6396.00,1049.32,0.073
749.jpg,15665.00,2131.06,0.043
75.jpg,32936.00,726.00,0.785
751.jpg,16065.00,1122.57,0.160
754.jpg,2364.50,342.49,0.253
756.jpg,20335.00,1743.56,0.084
758.jpg,30144.50,2529.84,0.059
761.jpg,44756.00,870.00,0.743
764.jpg,4409.00,710.52,0.110
765.jpg,5868.00,616.78,0.194
766.jpg,7079.50,706.40,0.178
771.jpg,9865.50,555.61,0.402
774.jpg,33160.50,1146.84,0.317
775.jpg,28199.00,672.00,0.785
776.jpg,21620.00,1283.63,0.165
781.jpg,3996.50,585.03,0.147
784.jpg,89401.00,1196.00,0.785
785.jpg,5919.00,469.24,0.338
786.jpg,25731.50,2294.34,0.061
788.jpg,36120.00,764.00,0.778
789.jpg,25235.50,2381.85,0.056
790.jpg,2587.50,332.43,0.294
795.jpg,13958.50,2589.06,0.026
797.jpg,10661.50,1545.09,0.056
801.jpg,37479.50,2180.69,0.099
805.jpg,24217.50,965.63,0.326
807.jpg,84037.00,1786.44,0.331
808.jpg,1063.50,342.09,0.114
809.jpg,48280.00,908.00,0.736
812.jpg,38001.00,796.00,0.754
814.jpg,33984.00,738.00,0.784
82.jpg,52934.00,930.00,0.769
822.jpg,36800.00,768.00,0.784
823.jpg,39590.00,798.00,0.781
824.jpg,40755.00,824.00,0.754
825.jpg,36465.00,772.00,0.769
828.jpg,38472.00,794.00,0.767
829.jpg,37632.00,784.00,0.769
832.jpg,30155.00,696.00,0.782
833.jpg,23392.50,1517.16,0.128
835.jpg,43776.00,854.00,0.754
837.jpg,47684.00,888.00,0.760
84.jpg,14161.00,476.00,0.785
841.jpg,43139.00,840.00,0.768
843.jpg,2023.50,459.63,0.120
849.jpg,9584.50,1259.75,0.076
850.jpg,22365.00,1342.68,0.156
856.jpg,8177.00,818.26,0.153
860.jpg,34289.50,1180.82,0.309
